k,run,iterations,avg_utility,max_utility,execution_time
25,1,7,92.58773257594689,99.51804595388884,0.28809070587158203
25,2,8,92.91049718931997,99.83118870195447,0.3240389823913574
25,3,6,91.32067841021993,98.33351176635006,0.24400734901428223
25,4,7,92.38407076068543,99.38649441335384,0.28894877433776855
25,5,6,92.13643755964802,98.98144656001958,0.24503040313720703
25,6,6,91.90476167306487,98.75783601359474,0.24527621269226074
25,7,10,93.04396505317037,99.96465656498957,0.4049966335296631
25,8,6,92.25509563884849,99.17578715066763,0.24802064895629883
25,9,4,83.46560330153267,90.32507309969478,0.16400933265686035
25,10,7,92.82163528303516,99.75949907086948,0.28199124336242676
50,1,7,92.34753351191922,99.3293992927323,0.28700923919677734
50,2,5,90.04215423780707,96.90321584922556,0.20402264595031738
50,3,4,86.92427155847406,93.77735527767732,0.16398882865905762
50,4,6,92.36108435571974,99.34295169575906,0.24498820304870605
50,5,5,90.28916009914462,97.21771696755248,0.20337724685668945
50,6,9,92.91611906751197,99.84643260542678,0.37100982666015625
50,7,5,91.29810506719197,98.20494467249597,0.20299363136291504
50,8,7,92.5238851181456,99.38318756521032,0.2860238552093506
50,9,6,92.43468007031743,99.34295169575906,0.2458178997039795
50,10,6,91.75909337808461,98.76150729598567,0.24301767349243164
75,1,7,92.55257713963094,99.40565148015851,0.29097771644592285
75,2,6,92.4361120911732,99.34295169575906,0.24352693557739258
75,3,8,92.84013922520754,99.76367161540675,0.3260054588317871
75,4,6,92.4194092291288,99.34295169575906,0.24602770805358887
75,5,7,92.51027707547212,99.35528606083525,0.2820088863372803
75,6,6,91.29064469181652,98.22095799335692,0.24100446701049805
75,7,6,92.42060815227016,99.34295169575906,0.2447206974029541
75,8,8,92.9912773700131,99.91196888183231,0.3249483108520508
75,9,6,92.0593629726687,98.98005448448906,0.24543499946594238
75,10,7,92.43010366861638,99.35363600069063,0.2923421859741211
100,1,7,92.42487089439324,99.35518458861176,0.30028414726257324
100,2,7,92.50048762128522,99.35979006825538,0.29457807540893555
100,3,6,92.43468007025568,99.34295169575906,0.24643278121948242
100,4,6,92.47495627971617,99.34295169575906,0.24565577507019043
100,5,8,92.90270765925305,99.76201010622573,0.32848143577575684
100,6,8,92.85474976835798,99.77544128023108,0.3321042060852051
100,7,6,91.66514088785367,98.59527125801586,0.24999237060546875
100,8,8,92.86687950212303,99.72618194910376,0.3380014896392822
100,9,6,92.49132684112084,99.34295169575906,0.24300432205200195
100,10,8,92.84060544831557,99.7612969601347,0.3290071487426758
125,1,5,90.4067881666293,97.32677339706729,0.20456218719482422
125,2,6,90.93157011968489,97.86943726531733,0.2440018653869629
125,3,6,92.42060815125247,99.34295169575906,0.2447342872619629
125,4,7,92.46583497530305,99.3961484298276,0.2819797992706299
125,5,6,92.33001341951102,99.34295169575906,0.24654746055603027
125,6,7,92.46851424185148,99.3908548245409,0.29402923583984375
125,7,7,92.32753241478166,99.32994645025843,0.28880882263183594
125,8,5,91.09367854217105,98.20494467249597,0.20402169227600098
125,9,7,92.32956142333724,99.33198514953287,0.28101634979248047
125,10,6,91.68254497980186,98.79379330547167,0.24401092529296875
