0.000,9.562,18.209,26.030,33.103,39.499
0.000,2.432,16.585,24.423,31.496,37.893
0.000,0.228,15.008,22.978,30.051,36.448
0.000,-0.283,13.577,21.583,28.657,35.053
0.000,-0.382,12.290,20.340,27.415,33.812
0.000,-0.383,3.607,18.958,26.040,32.437
0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.506,13.942,21.913,28.986,35.382
0.000,-1.130,12.609,21.615,28.689,35.086
0.000,-0.415,12.333,20.480,27.555,33.952
0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.384,2.558,17.738,24.832,31.228
0.000,5.789,13.721,21.034,28.109,34.531
0.000,-0.843,12.710,20.071,27.643,34.043
0.000,-1.364,9.544,18.193,26.397,32.794
0.000,-0.546,10.872,19.139,26.335,32.732
0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.407,1.570,16.519,23.638,30.035
0.000,5.003,12.584,19.874,26.937,33.360
0.000,2.518,12.734,20.015,27.486,33.894
0.000,1.789,11.350,18.777,26.221,32.672
0.000,-4.835,9.248,16.803,24.178,30.581
0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.427,0.691,15.286,22.459,28.856
0.000,4.384,11.441,18.809,25.370,32.138
0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.278,11.306,18.771,25.737,32.597
0.000,-4.855,9.756,17.533,24.505,31.305
0.000,-5.861,-1.240,15.318,22.248,29.037
0.000,-0.677,-0.624,14.172,21.316,27.839
0.000,4.752,12.724,19.964,26.524,32.825
0.000,-3.064,10.389,17.612,24.172,30.416
0.000,-1.174,6.624,17.614,24.509,31.289
0.000,-0.278,7.085,17.546,24.609,31.380
0.000,-4.566,5.327,16.288,23.293,30.056
0.000,-1.850,-0.175,15.024,22.034,28.758
