0.000,6.787,15.700,23.760,31.050,37.643,43.606,48.998
0.000,2.059,14.092,22.154,29.444,36.037,41.999,47.391
0.000,1.309,12.641,20.709,27.999,34.592,40.554,45.946
0.000,0.668,11.229,19.314,26.604,33.197,39.159,44.552
0.000,-0.226,9.958,18.073,25.363,31.956,37.918,43.310
0.000,-0.386,8.477,16.698,23.988,30.581,36.543,41.935
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.244,11.575,19.643,26.933,33.526,39.489,44.881
0.000,-1.268,11.265,19.347,26.637,33.230,39.192,44.584
0.000,-1.281,10.105,18.213,25.503,32.096,38.058,43.450
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.411,7.106,15.488,22.779,29.372,35.334,40.727
0.000,6.507,13.981,21.120,27.584,33.494,38.892,44.118
0.000,-0.793,12.685,19.939,26.486,32.454,37.904,43.551
0.000,-1.310,10.339,17.856,24.500,30.516,36.880,42.293
0.000,-1.137,9.535,16.855,24.308,30.836,36.837,42.231
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,-0.558,5.621,14.293,21.586,28.178,34.141,39.533
0.000,0.835,12.819,19.981,26.445,32.344,37.735,42.949
0.000,5.699,12.646,20.113,26.587,32.483,37.876,43.411
0.000,6.011,12.344,18.503,25.369,31.255,36.732,42.164
0.000,3.659,10.393,16.467,23.304,29.230,34.738,40.090
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,-1.169,4.015,13.112,20.654,26.083,32.962,38.354
0.000,0.434,8.386,18.839,25.303,31.191,36.576,41.738
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,7.220,13.545,19.582,25.634,31.398,36.772,41.844
0.000,5.562,12.330,18.417,24.458,30.191,35.551,40.600
0.000,-3.637,10.285,16.403,22.355,28.036,33.366,38.363
0.000,-3.011,3.301,15.301,21.668,27.132,32.321,37.431
0.000,1.133,9.540,16.756,25.102,31.947,37.597,42.629
0.000,-2.603,10.126,16.190,22.064,29.539,35.227,40.247
0.000,4.987,12.304,18.390,24.339,30.216,35.599,40.618
0.000,0.500,12.485,19.184,25.007,30.540,35.762,40.615
0.000,-1.570,11.370,17.947,23.771,29.285,34.501,39.352
0.000,-1.498,3.930,16.735,22.611,28.086,33.279,38.140
